municipio,ano,mes,temp_media_mensal,temp_maxima_mensal,temp_minima_mensal,precipitacao_acumulada_mm,eto_acumulada_mm,vento_medio_mensal
Juazeiro,2018,12,26.425806451612903,34.7,20.0,118.39999999999999,163.91,18.845161290322583
Juazeiro,2019,1,29.23548387096774,36.0,22.5,4.9,239.72,23.70967741935484
Juazeiro,2019,2,27.810714285714287,36.0,21.6,125.7,158.29,16.55
Juazeiro,2019,3,27.725806451612904,36.0,21.7,56.6,172.73,18.26774193548387
Juazeiro,2019,4,27.5,34.5,21.5,69.8,158.0,18.176666666666666
Juazeiro,2019,5,27.606451612903225,34.6,20.4,19.2,174.93,21.429032258064513
Juazeiro,2019,6,25.146666666666665,32.9,19.3,10.0,144.96,27.029999999999998
Juazeiro,2019,7,24.506451612903227,33.6,18.1,7.8,149.39,26.574193548387097
Juazeiro,2019,8,24.74516129032258,32.8,16.8,4.4,177.49,27.36774193548387
Juazeiro,2019,9,26.78666666666667,36.8,18.8,3.2,204.35,26.233333333333334
Juazeiro,2019,10,27.883870967741935,35.9,20.2,79.3,222.35,25.061290322580643
Juazeiro,2019,11,29.44333333333333,37.6,22.1,12.5,226.32,23.456666666666667
Juazeiro,2019,12,29.858064516129033,37.6,22.6,66.3,241.08,24.683870967741935
Juazeiro,2020,1,27.651612903225807,36.3,21.4,117.0,161.75,17.567741935483873
Juazeiro,2020,2,27.186206896551724,35.0,21.1,211.7,136.97,17.844827586206897
Juazeiro,2020,3,26.241935483870968,32.5,22.0,248.8,120.14,18.041935483870965
Juazeiro,2020,4,26.063333333333333,34.5,20.6,111.1,120.02,19.44
Juazeiro,2020,5,25.567741935483873,33.0,19.0,40.0,126.53,22.532258064516128
Juazeiro,2020,6,23.983333333333334,31.1,18.5,20.4,111.08,25.373333333333335
Juazeiro,2020,7,23.73548387096774,31.3,17.5,6.0,142.92,26.53548387096774
Juazeiro,2020,8,24.335483870967742,33.0,17.6,4.3999999999999995,169.79,26.66774193548387
Juazeiro,2020,9,26.19333333333333,35.9,18.3,1.7,204.81,25.603333333333335
