ano,municipio,produto,quantidade_produzida_t,temp_media_anual,temp_max_anual,temp_min_anual,precipitacao_total_anual_mm,eto_total_anual_mm,vento_medio_anual,gdd_total_anual,deficit_hidrico_total_anual_mm,indice_stress_medio_anual,amplitude_termica_media_anual,dias_temp_otima_total_anual
2013,PETROLINA,Uva,162448,27.143073476702508,38.4,16.5,311.6,2277.21,22.44831605222734,205.71688172043008,-1965.6100000000001,84.87741689526673,15.416666666666666,255.69644787049933
2014,PETROLINA,Manga,157600,26.36245071684588,37.2,17.9,289.59999999999997,2159.3,22.974942396313363,196.34940860215053,-1869.7,85.61468285069138,14.799999999999999,276.54456621269856
2014,PETROLINA,Uva,162448,26.36245071684588,37.2,17.9,289.59999999999997,2159.3,22.974942396313363,196.34940860215053,-1869.7,85.61468285069138,14.799999999999999,276.54456621269856
2015,PETROLINA,Manga,178200,27.280524193548388,37.8,17.3,270.3,2344.46,22.498347414234512,207.36629032258065,-2074.16,87.76287694321955,14.891666666666666,254.07453479516553
2015,PETROLINA,Uva,162448,27.280524193548388,37.8,17.3,270.3,2344.46,22.498347414234512,207.36629032258065,-2074.16,87.76287694321955,14.891666666666666,254.07453479516553
2016,PETROLINA,Manga,180180,27.328101903349403,37.8,17.9,265.4,2343.85,22.277180818193056,207.9372228401928,-2078.45,89.71082180937344,15.583333333333334,247.58532183969783
2016,PETROLINA,Uva,264110,27.328101903349403,37.8,17.9,265.4,2343.85,22.277180818193056,207.9372228401928,-2078.45,89.71082180937344,15.583333333333334,247.58532183969783
2017,PETROLINA,Manga,173360,26.69577956989247,36.5,17.4,309.0,2190.19,24.7093509984639,200.34935483870967,-1881.19,85.63990439463855,14.174999999999999,261.299015373735
2017,PETROLINA,Uva,336400,26.69577956989247,36.5,17.4,309.0,2190.19,24.7093509984639,200.34935483870967,-1881.19,85.63990439463855,14.174999999999999,261.299015373735
2018,PETROLINA,Manga,366750,26.47918970814132,36.5,17.9,429.20000000000005,2088.56,22.701099590373786,197.75027649769584,-1659.36,77.26363465272475,14.241666666666667,280.8477114004237
2018,PETROLINA,Uva,333750,26.47918970814132,36.5,17.9,429.20000000000005,2088.56,22.701099590373786,197.75027649769584,-1659.36,77.26363465272475,14.241666666666667,280.8477114004237
2019,PETROLINA,Manga,369000,27.354055939580135,37.6,16.8,459.7,2269.65,23.211684587813618,208.2486712749616,-1809.95,78.81458268043674,14.891666666666666,252.30398635880715
2019,PETROLINA,Uva,346500,27.354055939580135,37.6,16.8,459.7,2269.65,23.211684587813618,208.2486712749616,-1809.95,78.81458268043674,14.891666666666666,252.30398635880715
2020,PETROLINA,Manga,360000,26.295535162526264,37.2,17.5,835.5,1927.52,22.070948893832654,195.54642195031516,-1092.02,61.1798399536849,14.466666666666667,277.4975656765291
2020,PETROLINA,Uva,274730,26.295535162526264,37.2,17.5,835.5,1927.52,22.070948893832654,195.54642195031516,-1092.02,61.1798399536849,14.466666666666667,277.4975656765291
2021,PETROLINA,Manga,285000,26.755873015873018,37.3,17.0,405.2,2155.92,22.247476958525343,201.0704761904762,-1750.72,79.87140808481547,14.858333333333334,268.1667383919403
2021,PETROLINA,Uva,312500,26.755873015873018,37.3,17.0,405.2,2155.92,22.247476958525343,201.0704761904762,-1750.72,79.87140808481547,14.858333333333334,268.1667383919403
2022,PETROLINA,Manga,308000,25.750666922683052,37.5,17.0,636.4,2008.18,22.015108806963642,189.00800307219663,-1371.78,66.0156656952892,14.783333333333333,285.80861773627225
2022,PETROLINA,Uva,236500,25.750666922683052,37.5,17.0,636.4,2008.18,22.015108806963642,189.00800307219663,-1371.78,66.0156656952892,14.783333333333333,285.80861773627225
2023,PETROLINA,Manga,376000,27.182105094726065,39.0,17.5,302.0,2250.43,22.20968701996928,206.18526113671277,-1948.43,85.62449841086688,15.383333333333333,256.4627668468198
2023,PETROLINA,Uva,439246,27.182105094726065,39.0,17.5,302.0,2250.43,22.20968701996928,206.18526113671277,-1948.43,85.62449841086688,15.383333333333333,256.4627668468198
2024,PETROLINA,Manga,282000,27.098078729452478,38.2,16.9,488.3,2194.06,21.42326566555432,205.17694475342975,-1705.76,74.79155628605787,14.991666666666667,261.7081238126956
2024,PETROLINA,Uva,610739,27.098078729452478,38.2,16.9,488.3,2194.06,21.42326566555432,205.17694475342975,-1705.76,74.79155628605787,14.991666666666667,261.7081238126956
