ano,mes,municipio,produto,quantidade_produzida_t,preco_medio_r$_kg,area_colhida_ha,rendimento_medio_kg_ha,temp_media_mensal,temp_maxima_mensal,temp_minima_mensal,precipitacao_acumulada_mm,eto_acumulada_mm,vento_medio_mensal,gdd_mensal,deficit_hidrico_mm,indice_stress_hidrico,amplitude_termica,dias_temp_otima_est
2015,1,JUAZEIRO,Manga,44730,1.7066666666666668,2130,21000,28.69032258064516,35.9,22.2,5.0,234.33,21.774193548387096,18.69032258064516,-229.33,97.86625698800836,13.7,19.299834368949547
2015,2,JUAZEIRO,Manga,44730,1.7066666666666668,2130,21000,27.767857142857142,36.2,21.8,60.9,174.24,21.042857142857144,17.767857142857142,-113.34,65.04820936639119,14.400000000000002,21.50730207212422
2015,3,JUAZEIRO,Manga,44730,1.7066666666666668,2130,21000,27.88387096774193,35.9,21.2,155.60000000000002,190.48,18.406451612903226,17.88387096774193,-34.87999999999997,18.311633767324643,14.7,21.049953300048976
2015,4,JUAZEIRO,Manga,44730,1.7066666666666668,2130,21000,27.55,35.1,21.8,21.2,164.99,18.933333333333334,17.55,-143.79000000000002,87.15073640826716,13.3,22.734226025749564
2015,5,JUAZEIRO,Manga,44730,1.7066666666666668,2130,21000,26.11935483870968,34.5,19.6,8.7,151.63,24.56451612903226,16.11935483870968,-142.93,94.26234913935238,14.899999999999999,24.030894601032944
2015,6,JUAZEIRO,Manga,44730,1.7066666666666668,2130,21000,24.703333333333333,32.5,20.1,3.9,130.62,24.53333333333333,14.703333333333333,-126.72,97.01423977951309,12.399999999999999,26.748903288235734
2015,7,JUAZEIRO,Manga,44730,1.7066666666666668,2130,21000,24.45483870967742,32.1,18.4,1.2000000000000002,153.19,25.65806451612903,14.454838709677421,-151.99,99.21665905085189,13.700000000000003,25.517866762072547
2015,8,JUAZEIRO,Manga,44730,1.7066666666666668,2130,21000,24.648387096774197,33.6,17.3,1.1,190.22,25.370967741935484,14.648387096774197,-189.12,99.42172221638104,16.3,23.353798145900324
2015,9,JUAZEIRO,Manga,44730,1.7066666666666668,2130,21000,27.116666666666667,35.8,19.5,0.1,226.83,23.116666666666667,17.116666666666667,-226.73000000000002,99.95591412070713,16.299999999999997,21.600715454974836
2015,10,JUAZEIRO,Manga,44730,1.7066666666666668,2130,21000,28.26451612903226,37.5,20.3,0.6,242.62,23.76774193548387,18.26451612903226,-242.02,99.7526996949963,17.2,18.883283465016778
2015,11,JUAZEIRO,Manga,44730,1.7066666666666668,2130,21000,30.33333333333333,37.8,20.8,0.9,238.3,20.973333333333336,20.33333333333333,-237.4,99.62232480067142,16.999999999999996,13.836647691336143
2015,12,JUAZEIRO,Manga,44730,1.7066666666666668,2130,21000,29.751612903225805,37.6,22.8,11.1,246.64,21.83870967741936,19.751612903225805,-235.54,95.4995134609147,14.8,15.676852751986793
2015,1,JUAZEIRO,Uva,39400,4.777142857142857,1576,25000,28.69032258064516,35.9,22.2,5.0,234.33,21.774193548387096,18.69032258064516,-229.33,97.86625698800836,13.7,19.299834368949547
